,input_a,input_b,operand,operand_str,output,MR1_input_a,MR1_input_b,MR1_output,MR1_checker
0,3,0,0,sum,3.0,0.0,3.0,3.0,1.0
1,7,5,1,sub,2.0,5.0,7.0,-2.0,0.0
2,7,1,0,sum,8.0,1.0,7.0,8.0,1.0
3,4,0,0,sum,4.0,0.0,4.0,4.0,1.0
4,1,4,1,sub,-3.0,4.0,1.0,3.0,0.0
5,2,1,0,sum,3.0,1.0,2.0,3.0,1.0
6,3,6,0,sum,9.0,6.0,3.0,9.0,1.0
7,9,5,1,sub,4.0,5.0,9.0,-4.0,0.0
8,5,2,1,sub,3.0,2.0,5.0,-3.0,0.0
9,8,6,1,sub,2.0,6.0,8.0,-2.0,0.0
10,4,8,1,sub,-4.0,8.0,4.0,4.0,0.0
11,7,8,0,sum,15.0,8.0,7.0,15.0,1.0
12,9,7,1,sub,2.0,7.0,9.0,-2.0,0.0
13,3,4,0,sum,7.0,4.0,3.0,7.0,1.0
14,7,3,0,sum,10.0,3.0,7.0,10.0,1.0
15,5,0,1,sub,5.0,0.0,5.0,-5.0,0.0
16,7,5,0,sum,12.0,5.0,7.0,12.0,1.0
17,3,5,0,sum,8.0,5.0,3.0,8.0,1.0
18,9,5,1,sub,4.0,5.0,9.0,-4.0,0.0
19,3,4,1,sub,-1.0,4.0,3.0,1.0,0.0
20,2,1,1,sub,1.0,1.0,2.0,-1.0,0.0
21,3,7,0,sum,10.0,7.0,3.0,10.0,1.0
22,4,9,1,sub,-5.0,9.0,4.0,5.0,0.0
23,6,0,1,sub,6.0,0.0,6.0,-6.0,0.0
24,5,0,1,sub,5.0,0.0,5.0,-5.0,0.0
25,1,3,0,sum,4.0,3.0,1.0,4.0,1.0
26,5,0,1,sub,5.0,0.0,5.0,-5.0,0.0
27,1,1,1,sub,0.0,1.0,1.0,0.0,1.0
28,1,6,1,sub,-5.0,6.0,1.0,5.0,0.0
29,5,7,0,sum,12.0,7.0,5.0,12.0,1.0
30,0,6,0,sum,6.0,6.0,0.0,6.0,1.0
31,3,9,0,sum,12.0,9.0,3.0,12.0,1.0
